number,lv1,lv2,name
1,Tài chính và bảo hiểm,Ngân hàng,ABB
2,Tài chính và bảo hiểm,Ngân hàng,ACB
3,Tài chính và bảo hiểm,Ngân hàng,BAB
4,Tài chính và bảo hiểm,Ngân hàng,BID
5,Tài chính và bảo hiểm,Ngân hàng,BVB
6,Tài chính và bảo hiểm,Ngân hàng,CTG
7,Tài chính và bảo hiểm,Ngân hàng,EIB
8,Tài chính và bảo hiểm,Ngân hàng,EVF
9,Tài chính và bảo hiểm,Ngân hàng,HDB
10,Tài chính và bảo hiểm,Ngân hàng,KLB
11,Tài chính và bảo hiểm,Ngân hàng,LPB
12,Tài chính và bảo hiểm,Ngân hàng,MBB
13,Tài chính và bảo hiểm,Ngân hàng,MSB
14,Tài chính và bảo hiểm,Ngân hàng,NAB
15,Tài chính và bảo hiểm,Ngân hàng,NVB
16,Tài chính và bảo hiểm,Ngân hàng,OCB
17,Tài chính và bảo hiểm,Ngân hàng,PGB
18,Tài chính và bảo hiểm,Ngân hàng,SGB
19,Tài chính và bảo hiểm,Ngân hàng,SHB
20,Tài chính và bảo hiểm,Ngân hàng,SSB
21,Tài chính và bảo hiểm,Ngân hàng,STB
22,Tài chính và bảo hiểm,Ngân hàng,TCB
23,Tài chính và bảo hiểm,Ngân hàng,TIN
24,Tài chính và bảo hiểm,Ngân hàng,TPB
25,Tài chính và bảo hiểm,Ngân hàng,VAB
26,Tài chính và bảo hiểm,Ngân hàng,VBB
27,Tài chính và bảo hiểm,Ngân hàng,VCB
28,Tài chính và bảo hiểm,Ngân hàng,VIB
29,Tài chính và bảo hiểm,Ngân hàng,VPB
30,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,AAS
31,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,AGR
32,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,APG
33,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,APS
34,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,ART
35,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,BMS
36,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,BSI
37,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,BVS
38,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,CSI
39,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,CTS
40,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,DSC
41,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,EVS
42,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,FTS
43,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,HAC
44,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,HBS
45,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,HCM
46,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,HSA
47,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,IPA
48,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,IVS
49,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,MBS
50,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,OGC
51,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,ORS
52,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,PHS
53,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,PSI
54,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,PVR
55,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,SBS
56,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,SHS
57,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,SSI
58,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,TCI
59,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,TVB
60,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,TVC
61,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,TVS
62,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VCI
63,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VDS
64,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VFS
65,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VIG
66,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VIX
67,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VND
68,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VUA
69,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,WSS
70,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,ABI
71,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,AIC
72,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,BIC
73,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,BLI
74,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,BMI
75,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,BVH
76,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,MIG
77,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,PGI
78,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,PRE
79,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,PTI
80,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,PVI
81,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,VNR
82,Sản xuất nông nghiệp,Chăn nuôi,APT
83,Sản xuất nông nghiệp,Chăn nuôi,ASM
84,Sản xuất nông nghiệp,Chăn nuôi,BAF
85,Sản xuất nông nghiệp,Chăn nuôi,HVA
86,Sản xuất nông nghiệp,Chăn nuôi,MLS
87,Sản xuất nông nghiệp,Chăn nuôi,NSS
88,Sản xuất nông nghiệp,Chăn nuôi,PSL
89,Sản xuất nông nghiệp,Chăn nuôi,SEA
90,Sản xuất nông nghiệp,Hoạt động hỗ trợ cho nông lâm nghiệp,APC
91,Sản xuất nông nghiệp,Hoạt động hỗ trợ cho nông lâm nghiệp,PSW
92,Sản xuất nông nghiệp,Trồng rừng và khai thác gỗ,FRM
93,Sản xuất nông nghiệp,Trồng rừng và khai thác gỗ,VIF
94,Sản xuất nông nghiệp,Trồng trọt,AUM
95,Sản xuất nông nghiệp,Trồng trọt,BHG
96,Sản xuất nông nghiệp,Trồng trọt,CNA
97,Sản xuất nông nghiệp,Trồng trọt,CPA
98,Sản xuất nông nghiệp,Trồng trọt,CTP
99,Sản xuất nông nghiệp,Trồng trọt,DRG
100,Sản xuất nông nghiệp,Trồng trọt,FGL
101,Sản xuất nông nghiệp,Trồng trọt,HAG
102,Sản xuất nông nghiệp,Trồng trọt,HKT
103,Sản xuất nông nghiệp,Trồng trọt,HNG
104,Sản xuất nông nghiệp,Trồng trọt,HSL
105,Sản xuất nông nghiệp,Trồng trọt,LNC
106,Sản xuất nông nghiệp,Trồng trọt,NSC
107,Sản xuất nông nghiệp,Trồng trọt,SCA
108,Sản xuất nông nghiệp,Trồng trọt,SEP
109,Sản xuất nông nghiệp,Trồng trọt,SJF
110,Sản xuất nông nghiệp,Trồng trọt,SSC
111,Sản xuất nông nghiệp,Trồng trọt,TAN
112,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,DLT
113,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,MGC
114,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,MSR
115,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,POS
116,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,PSB
117,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,PVB
118,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,PVC
119,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,PVD
120,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,PVS
121,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),ACM
122,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),ALV
123,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),AMC
124,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),ATG
125,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),BCB
126,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),BKC
127,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),BMC
128,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),BMJ
129,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),C32
130,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),CMI
131,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),CST
132,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),CTA
133,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),DHA
134,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),DHM
135,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),GLC
136,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HGM
137,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HLC
138,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HMR
139,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HPM
140,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),ITS
141,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),KCB
142,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),KHB
143,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),KLM
144,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),KSB
145,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),KSH
146,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),KSQ
147,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),KSV
148,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),LCM
149,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),MDC
150,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),MDG
151,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),MIC
152,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),MIM
153,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),MTA
154,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),MVB
155,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),NBC
156,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),NNC
157,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),SPI
158,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),SQC
159,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),TC6
160,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),TDN
161,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),THT
162,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),TMB
163,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),TMG
164,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),TNT
165,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),TVD
166,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),VCE
167,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),VDB
168,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),VIM
169,Khai khoáng,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),VLB
170,Tiện ích,"Nước, chất thải và các hệ thống khác",BDW
171,Tiện ích,"Nước, chất thải và các hệ thống khác",BGW
172,Tiện ích,"Nước, chất thải và các hệ thống khác",BLW
173,Tiện ích,"Nước, chất thải và các hệ thống khác",BNW
174,Tiện ích,"Nước, chất thải và các hệ thống khác",BRS
175,Tiện ích,"Nước, chất thải và các hệ thống khác",BTW
176,Tiện ích,"Nước, chất thải và các hệ thống khác",BWA
177,Tiện ích,"Nước, chất thải và các hệ thống khác",BWE
178,Tiện ích,"Nước, chất thải và các hệ thống khác",BWS
179,Tiện ích,"Nước, chất thải và các hệ thống khác",CLW
180,Tiện ích,"Nước, chất thải và các hệ thống khác",CMW
181,Tiện ích,"Nước, chất thải và các hệ thống khác",CTW
182,Tiện ích,"Nước, chất thải và các hệ thống khác",DBW
183,Tiện ích,"Nước, chất thải và các hệ thống khác",DDG
184,Tiện ích,"Nước, chất thải và các hệ thống khác",DNE
185,Tiện ích,"Nước, chất thải và các hệ thống khác",DNN
186,Tiện ích,"Nước, chất thải và các hệ thống khác",DNW
187,Tiện ích,"Nước, chất thải và các hệ thống khác",DWC
188,Tiện ích,"Nước, chất thải và các hệ thống khác",DWS
189,Tiện ích,"Nước, chất thải và các hệ thống khác",GDW
190,Tiện ích,"Nước, chất thải và các hệ thống khác",GLW
191,Tiện ích,"Nước, chất thải và các hệ thống khác",HDW
192,Tiện ích,"Nước, chất thải và các hệ thống khác",HEP
193,Tiện ích,"Nước, chất thải và các hệ thống khác",HGW
