,lv1,lv2,name
0,Tài chính và bảo hiểm,Ngân hàng,ACB
1,Tài chính và bảo hiểm,Ngân hàng,BID
2,Tài chính và bảo hiểm,Ngân hàng,CTG
3,Tài chính và bảo hiểm,Ngân hàng,EIB
4,Tài chính và bảo hiểm,Ngân hàng,HDB
5,Tài chính và bảo hiểm,Ngân hàng,LPB
6,Tài chính và bảo hiểm,Ngân hàng,MBB
7,Tài chính và bảo hiểm,Ngân hàng,MSB
8,Tài chính và bảo hiểm,Ngân hàng,OCB
9,Tài chính và bảo hiểm,Ngân hàng,SHB
10,Tài chính và bảo hiểm,Ngân hàng,SSB
11,Tài chính và bảo hiểm,Ngân hàng,STB
12,Tài chính và bảo hiểm,Ngân hàng,TCB
13,Tài chính và bảo hiểm,Ngân hàng,TPB
14,Tài chính và bảo hiểm,Ngân hàng,VCB
15,Tài chính và bảo hiểm,Ngân hàng,VIB
16,Tài chính và bảo hiểm,Ngân hàng,VPB
17,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,BSI
18,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,FTS
19,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,HCM
20,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,MBS
21,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,SHS
22,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,SSI
23,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VCI
24,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VIX
25,Tài chính và bảo hiểm,Chứng khoán và các hoạt động liên quan,VND
26,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,BMI
27,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,BVH
28,Tài chính và bảo hiểm,Bảo hiểm và các hoạt động liên quan,MIG
29,Sản xuất nông nghiệp,Chăn nuôi,ASM
30,Sản xuất nông nghiệp,Chăn nuôi,BAF
31,Sản xuất nông nghiệp,Trồng trọt,HAG
32,Sản xuất nông nghiệp,Trồng trọt,HNG
33,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,PVD
34,Khai khoáng,Các hoạt động hỗ trợ khai khoáng,PVS
35,Tiện ích,"Nước, chất thải và các hệ thống khác",SIP
36,Tiện ích,"Phát, truyền tải và phân phối điện năng",GEG
37,Tiện ích,"Phát, truyền tải và phân phối điện năng",IDC
