,name
0,VCB
1,BID
2,VHM
3,VIC
4,GAS
5,VNM
6,CTG
7,VPB
8,HPG
9,MSN
10,SAB
11,TCB
12,FPT
13,MBB
14,ACB
15,BCM
16,SSB
17,MWG
18,GVR
19,VRE
20,VJC
21,STB
22,PLX
23,HDB
24,VIB
25,TPB
26,BVH
27,SHB
28,SSI
29,EIB
30,POW
31,NVL
32,HVN
33,PNJ
34,REE
35,MSB
36,LPB
37,OCB
38,DGC
39,KDH
40,KBC
41,VND
42,VGC
43,KDC
44,GMD
45,DPM
46,DCM
47,VCI
48,IDC
49,VPI
50,VHC
51,PVS
52,GEX
53,NLG
54,PVD
55,DIG
56,HCM
57,PDR
58,SBT
59,VCG
60,HSG
61,VCS
62,DXG
63,FRT
64,NT2
65,SIP
66,KOS
67,HDG
68,SHS
69,HAG
70,PC1
71,CTR
72,DGW
73,PVT
74,HUT
75,PHR
76,MBS
77,CEO
78,SCG
79,HT1
80,TCH
81,FTS
82,SJS
83,BMP
84,GEG
85,HNG
86,VIX
87,BCG
88,ANV
89,TCM
90,NKG
91,ITA
92,HHV
93,DBC
94,CII
95,PAN
96,BSI
97,VSC
98,AGG
99,HDC
100,AAA
101,CTD
102,IJC
103,DHC
104,SZC
105,DXS
106,PTB
107,ASM
108,BAF
109,SCR
110,VC3
111,IDI
112,MIG
113,HAH
114,BMI
115,DRC
116,PLC
117,SAM
118,CTF
119,HBC
